metric,mean,std,experiment
scores.fold_4_2.accuracy_score,0.639255923820772,0.013582290527154107,No augmentation
scores.fold_4_2.f1_macro,0.6185113400320471,0.005123882879881848,No augmentation
scores.fold_4_3.load_data_time,0.0679915977826087,0.0007191322873399051,No augmentation
scores.fold_4_3.training_time,2.694072923521739,0.026354724538703734,No augmentation
scores.fold_4_3.prediction_time,0.4576607050434782,0.006246427567748001,No augmentation
scores.fold_4_3.accuracy_score,0.5478997789240971,0.021099485755761805,No augmentation
scores.fold_4_3.f1_macro,0.3255614375006615,0.03083907187655122,No augmentation
scores.fold_5_0.load_data_time,0.060107823956521735,0.0007313983333008883,No augmentation
scores.fold_5_0.training_time,2.283892354782609,0.01756592214661098,No augmentation
scores.fold_5_0.prediction_time,0.6080906202608696,0.008508655197224397,No augmentation
scores.fold_5_0.accuracy_score,0.6134026368037121,0.012306103902616683,No augmentation
scores.fold_5_0.f1_macro,0.5457129203512329,0.010370515460726664,No augmentation
scores.fold_5_1.load_data_time,0.06306612147826088,0.0005045126958144755,No augmentation
scores.fold_5_1.training_time,2.4304711076086956,0.016611097282929123,No augmentation
scores.fold_5_1.prediction_time,0.5515232792608696,0.007811561649827612,No augmentation
scores.fold_5_1.accuracy_score,0.5925963115439972,0.022714765844208906,No augmentation
scores.fold_5_1.f1_macro,0.603531578127767,0.015547190174179937,No augmentation
scores.fold_5_2.load_data_time,0.07958306878260869,0.0007121097737090169,No augmentation
scores.fold_5_2.training_time,3.1850735823043483,0.020626268260690486,No augmentation
scores.fold_5_2.prediction_time,0.22169791804347827,0.003209787099911152,No augmentation
scores.fold_5_2.accuracy_score,0.6435557688049015,0.014140014611912366,No augmentation
scores.fold_5_2.f1_macro,0.6196662496799525,0.006120408549248666,No augmentation
scores.fold_5_3.load_data_time,0.06565543760869563,0.0006499153951789504,No augmentation
scores.fold_5_3.training_time,2.6969024714782606,0.026016977710284248,No augmentation
scores.fold_5_3.prediction_time,0.4573765718695651,0.006484277947274295,No augmentation
scores.fold_5_3.accuracy_score,0.5332317917474384,0.024884596473501924,No augmentation
scores.fold_5_3.f1_macro,0.3040185513862505,0.036752127710313026,No augmentation
scores.fold_6_0.load_data_time,0.05779876504347826,0.0005349840508917895,No augmentation
scores.fold_6_0.training_time,2.219616127130435,0.01814236277260337,No augmentation
scores.fold_6_0.prediction_time,0.6626238480000001,0.009360403764266775,No augmentation
scores.fold_6_0.accuracy_score,0.6107054331077911,0.009213132785615759,No augmentation
scores.fold_6_0.f1_macro,0.5440816375463692,0.008130154140825642,No augmentation
scores.fold_6_1.load_data_time,0.06584355630434784,0.0008190053991457849,No augmentation
scores.fold_6_1.training_time,2.495227834217391,0.018287696524140074,No augmentation
scores.fold_6_1.prediction_time,0.4973085481304348,0.0070499859789126314,No augmentation
scores.fold_6_1.accuracy_score,0.6226105366512228,0.018078559671944622,No augmentation
scores.fold_6_1.f1_macro,0.5998070048974885,0.015145831729009318,No augmentation
scores.fold_6_2.load_data_time,0.08179053943478261,0.00048618513725056257,No augmentation
scores.fold_6_2.training_time,3.183377311347826,0.026692099017089136,No augmentation
scores.fold_6_2.prediction_time,0.22166279895652174,0.0031039820224882182,No augmentation
scores.fold_6_2.accuracy_score,0.6106421341638323,0.01258019594787531,No augmentation
scores.fold_6_2.f1_macro,0.6225513705330394,0.007056668737797222,No augmentation
scores.fold_6_3.load_data_time,0.06809851708695654,0.0006618665817864791,No augmentation
scores.fold_6_3.training_time,2.6970405810434777,0.018287750002116382,No augmentation
scores.fold_6_3.prediction_time,0.45719130347826087,0.006485600889213274,No augmentation
scores.fold_6_3.accuracy_score,0.5343395181390196,0.02178540126675154,No augmentation
scores.fold_6_3.f1_macro,0.30634350948711925,0.03403707965930483,No augmentation
scores.fold_7_0.load_data_time,0.05559058878260869,0.000502718720240251,No augmentation
scores.fold_7_0.training_time,2.2178476849999997,0.019813272991965582,No augmentation
scores.fold_7_0.prediction_time,0.6623220704782609,0.00951310934833723,No augmentation
scores.fold_7_0.accuracy_score,0.6085839976775864,0.006544370231414629,No augmentation
scores.fold_7_0.f1_macro,0.5423979813945662,0.005342948227400737,No augmentation
scores.fold_7_1.load_data_time,0.06338358060869564,0.0006176068624025348,No augmentation
scores.fold_7_1.training_time,2.4316407129999997,0.018245767800387898,No augmentation
scores.fold_7_1.prediction_time,0.552610800826087,0.008596252186209581,No augmentation
scores.fold_7_1.accuracy_score,0.6283621960206339,0.017649867391064,No augmentation
scores.fold_7_1.f1_macro,0.605520079905901,0.015553854574993859,No augmentation
scores.fold_7_2.load_data_time,0.08422080552173913,0.000528599819060685,No augmentation
scores.fold_7_2.training_time,3.2472498925652182,0.02032638104270077,No augmentation
scores.fold_7_2.prediction_time,0.16707658217391305,0.00236015769200605,No augmentation
scores.fold_7_2.accuracy_score,0.64455876387506,0.013828790168561688,No augmentation
scores.fold_7_2.f1_macro,0.6201967621174233,0.007029422193936983,No augmentation
scores.fold_7_3.load_data_time,0.08422080552173913,0.000528599819060685,No augmentation
scores.fold_7_3.training_time,3.2472498925652182,0.02032638104270077,No augmentation
scores.fold_7_3.prediction_time,0.16707658217391305,0.00236015769200605,No augmentation
scores.fold_7_3.accuracy_score,0.3803119626627364,0.032913537350352844,No augmentation
scores.fold_7_3.f1_macro,0.3056024133810643,0.03718962078445418,No augmentation
scores.fold_0_0.load_data_time,20.428891399772727,0.16608294467300674,With augmentation
scores.fold_0_0.training_time,26.015884066499996,0.15612120279807595,With augmentation
scores.fold_0_0.prediction_time,0.4654396561818182,0.005084716974869939,With augmentation
scores.fold_0_0.accuracy_score,0.49560851004269024,0.007017100633401868,With augmentation
scores.fold_0_0.f1_macro,0.5242889326659176,0.005320090998067776,With augmentation
scores.fold_0_1.load_data_time,14.109835751272728,0.1573911083349208,With augmentation
scores.fold_0_1.training_time,18.360485069727275,0.10411245469761063,With augmentation
scores.fold_0_1.prediction_time,0.5609700553636364,0.006219913397799021,With augmentation
scores.fold_0_1.accuracy_score,0.625904655180464,0.011401854695223406,With augmentation
scores.fold_0_1.f1_macro,0.553951711653036,0.008844326346693389,With augmentation
scores.fold_0_2.load_data_time,29.812028679318185,0.407286212921891,With augmentation
scores.fold_0_2.training_time,37.50747568931819,0.25398012223684757,With augmentation
scores.fold_0_2.prediction_time,0.2209444514090909,0.002492154582812353,With augmentation
scores.fold_0_2.accuracy_score,0.5019871893810773,0.012620015402770858,With augmentation
scores.fold_0_2.f1_macro,0.4681104475605513,0.008270992589099198,With augmentation
scores.fold_0_3.load_data_time,10.822678755590909,0.15943831113794407,With augmentation
scores.fold_0_3.training_time,13.753246989545453,0.08245473374693209,With augmentation
scores.fold_0_3.prediction_time,0.6717402299090908,0.007046045182949637,With augmentation
scores.fold_0_3.accuracy_score,0.5191159476117103,0.02996656953981954,With augmentation
scores.fold_0_3.f1_macro,0.2771666780701127,0.044737384973271996,With augmentation
scores.fold_1_0.load_data_time,20.244799373000003,0.42817642922348004,With augmentation
scores.fold_1_0.training_time,25.45118114577273,0.1556574136779068,With augmentation
scores.fold_1_0.prediction_time,0.40186612336363636,0.004625707542072832,With augmentation
scores.fold_1_0.accuracy_score,0.5380284852761916,0.008566003833937172,With augmentation
scores.fold_1_0.f1_macro,0.5240316328497142,0.007028425014777436,With augmentation
scores.fold_1_1.load_data_time,14.056945221318182,0.17581304513884624,With augmentation
scores.fold_1_1.training_time,18.39728409768182,0.1204930579811959,With augmentation
scores.fold_1_1.prediction_time,0.5550922828181819,0.009214008124574567,With augmentation
scores.fold_1_1.accuracy_score,0.5731836756355144,0.00913177099478837,With augmentation
scores.fold_1_1.f1_macro,0.5523267250989798,0.006514336096244615,With augmentation
scores.fold_1_2.load_data_time,29.702411678318185,0.28380366175469934,With augmentation
scores.fold_1_2.training_time,37.34666666654545,0.22061701472578088,With augmentation
scores.fold_1_2.prediction_time,0.22042929354545454,0.0023871924468023865,With augmentation
scores.fold_1_2.accuracy_score,0.4960835005402069,0.018726609820172442,With augmentation
scores.fold_1_2.f1_macro,0.4639679735369943,0.012576599607790603,With augmentation
